imageLarge,imageMedium,imageSmall,imageFileName,nameText,nameLink,year,collectionText,collectionLink,invNo,dim,catCode
"//upload.wikimedia.org/wikipedia/commons/b/b1/Artemisia_Gentileschi_-_Dana%C3%AB.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Artemisia_Gentileschi_-_Dana%C3%AB.jpg/256px-Artemisia_Gentileschi_-_Dana%C3%AB.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Artemisia_Gentileschi_-_Dana%C3%AB.jpg/128px-Artemisia_Gentileschi_-_Dana%C3%AB.jpg","Artemisia_Gentileschi_-_Dana%C3%AB.jpg","Danae","/wiki/Danae_(Artemisia_Gentileschi)","1612","Saint Louis Art Museum","//www.wikipedia.org/wiki/Saint_Louis_Art_Museum","93:1986","40.5 X 52.5&#160;cm.","MET (54), WB (X-7)"
"//upload.wikimedia.org/wikipedia/commons/4/4e/Artemisia_Gentileschi_-_Judith_Beheading_Holofernes_-_WGA8563.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Artemisia_Gentileschi_-_Judith_Beheading_Holofernes_-_WGA8563.jpg/256px-Artemisia_Gentileschi_-_Judith_Beheading_Holofernes_-_WGA8563.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Artemisia_Gentileschi_-_Judith_Beheading_Holofernes_-_WGA8563.jpg/128px-Artemisia_Gentileschi_-_Judith_Beheading_Holofernes_-_WGA8563.jpg","Artemisia_Gentileschi_-_Judith_Beheading_Holofernes_-_WGA8563.jpg","Judith Slaying Holofernes","/wiki/Judith_Slaying_Holofernes_(Artemisia_Gentileschi)","1611-2","Museo Nazionale di Capodimonte","//www.wikipedia.org/wiki/Museo_di_Capodimonte","","158.8 x 125.5&#160;cm.","MET (55), WB (4)"
"//upload.wikimedia.org/wikipedia/commons/4/43/A_Gentileschi_Allegoria_dell%27inclinazione.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/4/43/A_Gentileschi_Allegoria_dell%27inclinazione.jpg/256px-A_Gentileschi_Allegoria_dell%27inclinazione.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/4/43/A_Gentileschi_Allegoria_dell%27inclinazione.jpg/128px-A_Gentileschi_Allegoria_dell%27inclinazione.jpg","A_Gentileschi_Allegoria_dell%27inclinazione.jpg","Allegory of Inclination","/wiki/Allegory_of_Inclination","1615","Casa Buonarroti","//www.wikipedia.org/wiki/Casa_Buonarroti","","152 × 61&#160;cm.","MET (Figure 110.), WB (8)"
"//upload.wikimedia.org/wikipedia/commons/c/c2/Portrait_of_a_nun_by_Artemisia_Gentileschi_ca._1613-1618.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Portrait_of_a_nun_by_Artemisia_Gentileschi_ca._1613-1618.jpg/256px-Portrait_of_a_nun_by_Artemisia_Gentileschi_ca._1613-1618.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Portrait_of_a_nun_by_Artemisia_Gentileschi_ca._1613-1618.jpg/128px-Portrait_of_a_nun_by_Artemisia_Gentileschi_ca._1613-1618.jpg","Portrait_of_a_nun_by_Artemisia_Gentileschi_ca._1613-1618.jpg","Portrait of a Nun","/wiki/Portrait_of_a_Nun_(Artemisia_Gentileschi)","1613-8","Private Collection","","","70 × 52.5&#160;cm.","MET (Figure 114.)"
"//upload.wikimedia.org/wikipedia/commons/3/32/Artemisia_Gentileschi_Selfportrait_Martyr.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Artemisia_Gentileschi_Selfportrait_Martyr.jpg/256px-Artemisia_Gentileschi_Selfportrait_Martyr.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Artemisia_Gentileschi_Selfportrait_Martyr.jpg/128px-Artemisia_Gentileschi_Selfportrait_Martyr.jpg","Artemisia_Gentileschi_Selfportrait_Martyr.jpg","Self-Portrait as a Female Martyr","/wiki/Self-Portrait_as_a_Female_Martyr","c.1615","Private Collection","","","32 X 24.7&#160;cm.","MET (56), WB (7)"
"//upload.wikimedia.org/wikipedia/commons/b/b7/Artemisia_Gentileschi_-_Self-Portrait_as_a_Lute_Player.JPG/128px-Artemisia_Gentileschi_-_Self-Portrait_as_a_Lute_Player.JPGjpg","//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Artemisia_Gentileschi_-_Self-Portrait_as_a_Lute_Player.JPG/256px-Artemisia_Gentileschi_-_Self-Portrait_as_a_Lute_Player.JPG","//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Artemisia_Gentileschi_-_Self-Portrait_as_a_Lute_Player.JPG/128px-Artemisia_Gentileschi_-_Self-Portrait_as_a_Lute_Player.JPG","128px-Artemisia_Gentileschi_-_Self-Portrait_as_a_Lute_Player.JPGjpg","Self-Portrait as a Lute Player","/wiki/Self-Portrait_as_a_Lute_Player","1616-18","Wadsworth Atheneum","//www.wikipedia.org/wiki/Wadsworth_Atheneum","","30 x 28&#160;cm","MET (57)"
"//upload.wikimedia.org/wikipedia/commons/f/f6/Artemisia_Gentileschi_Mary_Magdalene_Pitti.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Artemisia_Gentileschi_Mary_Magdalene_Pitti.jpg/256px-Artemisia_Gentileschi_Mary_Magdalene_Pitti.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Artemisia_Gentileschi_Mary_Magdalene_Pitti.jpg/128px-Artemisia_Gentileschi_Mary_Magdalene_Pitti.jpg","Artemisia_Gentileschi_Mary_Magdalene_Pitti.jpg","Mary Magdalene","/wiki/Mary_Magdalene_(Artemisia_Gentileschi)","1616–17","Palazzo Pitti","//www.wikipedia.org/wiki/Palazzo_Pitti","","146.5 x 108&#160;cm","MET (58), WB (10)"
"//upload.wikimedia.org/wikipedia/commons/7/76/Artemisia_Gentileschi_-_St_Catherine_of_Alexandria_-_WGA8560.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Artemisia_Gentileschi_-_St_Catherine_of_Alexandria_-_WGA8560.jpg/256px-Artemisia_Gentileschi_-_St_Catherine_of_Alexandria_-_WGA8560.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Artemisia_Gentileschi_-_St_Catherine_of_Alexandria_-_WGA8560.jpg/128px-Artemisia_Gentileschi_-_St_Catherine_of_Alexandria_-_WGA8560.jpg","Artemisia_Gentileschi_-_St_Catherine_of_Alexandria_-_WGA8560.jpg","Saint Catherine of Alexandria","/wiki/Saint_Catherine_of_Alexandria_(Artemisia_Gentileschi)","c.1618-9","Uffizi","//www.wikipedia.org/wiki/Uffizi","8032","77 x 62&#160;cm","MET (59), WB (6)"
"//upload.wikimedia.org/wikipedia/commons/7/7a/Gentileschi_judith1.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Gentileschi_judith1.jpg/256px-Gentileschi_judith1.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Gentileschi_judith1.jpg/128px-Gentileschi_judith1.jpg","Gentileschi_judith1.jpg","Judith and her Maidservant","/wiki/Judith_and_her_Maidservant_(Gentileschi,_Florence)","c.1618-9","Palazzo Pitti","//www.wikipedia.org/wiki/Palazzo_Pitti","","14 x 93.5&#160;cm","MET (60), WB (5)"
"//upload.wikimedia.org/wikipedia/commons/8/84/Artemisia_Gentileschi_-_Mary_Magdalene_in_Ecstasy.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Artemisia_Gentileschi_-_Mary_Magdalene_in_Ecstasy.jpg/256px-Artemisia_Gentileschi_-_Mary_Magdalene_in_Ecstasy.jpg","//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Artemisia_Gentileschi_-_Mary_Magdalene_in_Ecstasy.jpg/128px-Artemisia_Gentileschi_-_Mary_Magdalene_in_Ecstasy.jpg","Artemisia_Gentileschi_-_Mary_Magdalene_in_Ecstasy.jpg","Mary Magdalene in Ecstasy","/wiki/Mary_Magdalene_in_Ecstasy","1620","private collection","","","81 x 105 cm&#160;cm.","G. Pupi"
